station_id,bikes_out,bikes_in,station_name,lat,lng,bikes_chng,ride_date
5980.07,8.0,13.0,E 17 St & Broadway,40.73704984,-73.99009296,5.0,2023-02-01 16:00:00
6266.06,9.0,12.0,9 Ave & W 22 St,40.745516062,-74.001939893,3.0,2023-02-01 16:00:00
7631.23,18.0,22.0,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,4.0,2023-02-01 16:00:00
7617.07,7.0,12.0,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,5.0,2023-02-01 16:00:00
7619.05,5.0,4.0,W 107 St & Columbus Ave,40.799773693,-73.962261319,-1.0,2023-02-01 16:00:00
6306.01,10.0,6.0,W 20 St & 10 Ave,40.745686,-74.005141,-4.0,2023-02-01 16:00:00
7617.07,6.0,7.0,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,1.0,2023-02-01 17:00:00
7646.04,3.0,6.0,W 110 St & Amsterdam Ave,40.802558184,-73.96272707,3.0,2023-02-01 17:00:00
7619.05,1.0,3.0,W 107 St & Columbus Ave,40.799773693,-73.962261319,2.0,2023-02-01 17:00:00
7631.23,9.0,5.0,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,-4.0,2023-02-01 17:00:00
5980.07,4.0,11.0,E 17 St & Broadway,40.73704984,-73.99009296,7.0,2023-02-01 17:00:00
5905.14,16.0,19.0,University Pl & E 14 St,40.734814,-73.992085,3.0,2023-02-01 17:00:00
6266.06,9.0,23.0,9 Ave & W 22 St,40.745516062,-74.001939893,14.0,2023-02-01 17:00:00
6306.01,17.0,20.0,W 20 St & 10 Ave,40.745686,-74.005141,3.0,2023-02-01 17:00:00
6224.03,10.0,14.0,W 22 St & 8 Ave,40.74475148,-73.99915362,4.0,2023-02-01 17:00:00
5905.12,20.0,17.0,Broadway & E 14 St,40.73454567,-73.99074142,-3.0,2023-02-01 17:00:00
7617.07,3.0,7.0,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,4.0,2023-02-01 18:00:00
6306.01,24.0,24.0,W 20 St & 10 Ave,40.745686,-74.005141,0.0,2023-02-01 18:00:00
7619.05,4.0,3.0,W 107 St & Columbus Ave,40.799773693,-73.962261319,-1.0,2023-02-01 18:00:00
7646.04,9.0,6.0,W 110 St & Amsterdam Ave,40.802558184,-73.96272707,-3.0,2023-02-01 18:00:00
6224.03,6.0,6.0,W 22 St & 8 Ave,40.74475148,-73.99915362,0.0,2023-02-01 18:00:00
6266.06,15.0,19.0,9 Ave & W 22 St,40.745516062,-74.001939893,4.0,2023-02-01 18:00:00
7631.23,14.0,7.0,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,-7.0,2023-02-01 18:00:00
5980.07,3.0,18.0,E 17 St & Broadway,40.73704984,-73.99009296,15.0,2023-02-01 18:00:00
5905.14,23.0,24.0,University Pl & E 14 St,40.734814,-73.992085,1.0,2023-02-01 18:00:00
5905.12,24.0,23.0,Broadway & E 14 St,40.73454567,-73.99074142,-1.0,2023-02-01 18:00:00
7646.04,3.0,4.0,W 110 St & Amsterdam Ave,40.802558184,-73.96272707,1.0,2023-02-01 19:00:00
6306.01,11.0,11.0,W 20 St & 10 Ave,40.745686,-74.005141,0.0,2023-02-01 19:00:00
7631.23,4.0,9.0,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,5.0,2023-02-01 19:00:00
6224.03,9.0,9.0,W 22 St & 8 Ave,40.74475148,-73.99915362,0.0,2023-02-01 19:00:00
7619.05,5.0,4.0,W 107 St & Columbus Ave,40.799773693,-73.962261319,-1.0,2023-02-01 19:00:00
5905.14,25.0,15.0,University Pl & E 14 St,40.734814,-73.992085,-10.0,2023-02-01 19:00:00
5980.07,1.0,8.0,E 17 St & Broadway,40.73704984,-73.99009296,7.0,2023-02-01 19:00:00
6266.06,9.0,24.0,9 Ave & W 22 St,40.745516062,-74.001939893,15.0,2023-02-01 19:00:00
7617.07,4.0,3.0,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,-1.0,2023-02-01 19:00:00
5905.12,15.0,9.0,Broadway & E 14 St,40.73454567,-73.99074142,-6.0,2023-02-01 19:00:00
7619.05,1.0,4.0,W 107 St & Columbus Ave,40.799773693,-73.962261319,3.0,2023-02-01 20:00:00
5905.14,11.0,11.0,University Pl & E 14 St,40.734814,-73.992085,0.0,2023-02-01 20:00:00
7631.23,3.0,3.0,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,0.0,2023-02-01 20:00:00
6306.01,6.0,11.0,W 20 St & 10 Ave,40.745686,-74.005141,5.0,2023-02-01 20:00:00
7646.04,4.0,1.0,W 110 St & Amsterdam Ave,40.802558184,-73.96272707,-3.0,2023-02-01 20:00:00
5905.12,7.0,6.0,Broadway & E 14 St,40.73454567,-73.99074142,-1.0,2023-02-01 20:00:00
7617.07,2.0,6.0,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,4.0,2023-02-01 20:00:00
